Index,Angle,Y
1.535,23.03,1690
1.537,23.06,1690
1.539,23.09,1690
1.541,23.12,1690
1.543,23.14,1690
1.545,23.17,1690
1.547,23.20,1690
1.549,23.23,1690
1.551,23.26,1690
1.553,23.29,1690
1.555,23.32,1689
1.557,23.35,1689
1.559,23.38,1689
1.561,23.41,1689
1.563,23.44,1689
1.564,23.47,1689
1.566,23.50,1689
1.568,23.53,1689
1.570,23.55,1688
1.572,23.58,1688
1.574,23.61,1688
1.576,23.64,1688
1.578,23.67,1688
1.580,23.70,1687
1.582,23.73,1687
1.584,23.76,1687
1.586,23.79,1687
1.588,23.82,1687
1.590,23.85,1687
1.592,23.88,1686
1.594,23.91,1686
1.596,23.94,1686
1.598,23.96,1686
1.600,23.99,1685
1.602,24.02,1685
1.604,24.05,1685
1.605,24.08,1685
1.607,24.11,1684
1.609,24.14,1684
1.611,24.17,1684
1.613,24.20,1684
1.615,24.23,1683
1.617,24.26,1683
1.619,24.29,1683
1.621,24.32,1683
1.623,24.35,1682
1.625,24.38,1682
1.627,24.40,1682
1.629,24.43,1681
1.631,24.46,1681
1.633,24.49,1681
1.635,24.52,1681
1.637,24.55,1680
1.639,24.58,1680
1.641,24.61,1680
1.643,24.64,1679
1.645,24.67,1679
1.646,24.70,1678
1.648,24.73,1678
1.650,24.76,1678
1.652,24.79,1677
1.654,24.81,1677
1.656,24.84,1677
1.658,24.87,1676
1.660,24.90,1676
1.662,24.93,1675
1.664,24.96,1675
1.666,24.99,1675
1.668,25.02,1674
1.670,25.05,1674
1.672,25.08,1673
1.674,25.11,1673
1.676,25.14,1673
1.678,25.17,1672
1.680,25.20,1672
1.682,25.22,1671
1.684,25.25,1671
1.686,25.28,1670
1.688,25.31,1670
1.689,25.34,1669
1.691,25.37,1669
1.693,25.40,1669
1.695,25.43,1668
1.697,25.46,1668
1.699,25.49,1667
1.701,25.52,1666
1.703,25.55,1666
1.705,25.58,1666
1.707,25.61,1665
1.709,25.63,1665
1.711,25.66,1664
1.713,25.69,1663
1.715,25.72,1663
1.717,25.75,1662
1.719,25.78,1662
1.721,25.81,1661
1.723,25.84,1661
1.725,25.87,1660
1.727,25.90,1660
1.729,25.93,1659
1.730,25.96,1659
1.732,25.99,1658
1.734,26.02,1657
1.736,26.04,1657
1.738,26.07,1656
1.740,26.10,1656
1.742,26.13,1655
1.744,26.16,1654
1.746,26.19,1654
1.748,26.22,1653
1.750,26.25,1653
1.752,26.28,1652
1.754,26.31,1651
1.756,26.34,1651
1.758,26.37,1650
1.760,26.40,1649
1.762,26.43,1649
1.764,26.46,1648
1.766,26.48,1647
1.768,26.51,1647
1.770,26.54,1646
1.771,26.57,1645
1.773,26.60,1645
1.775,26.63,1644
1.777,26.66,1643
1.779,26.69,1643
1.781,26.72,1642
1.783,26.75,1641
1.785,26.78,1641
1.787,26.81,1640
1.789,26.84,1639
1.791,26.87,1638
1.793,26.89,1638
1.795,26.92,1637
1.797,26.95,1636
1.799,26.98,1635
1.801,27.01,1635
1.803,27.04,1634
1.805,27.07,1633
1.807,27.10,1632
1.809,27.13,1632
1.811,27.16,1631
1.813,27.19,1630
1.814,27.22,1629
1.816,27.25,1628
1.818,27.28,1628
1.820,27.30,1627
1.822,27.33,1626
1.824,27.36,1625
1.826,27.39,1624
1.828,27.42,1623
1.830,27.45,1623
1.832,27.48,1622
1.834,27.51,1621
1.836,27.54,1620
1.838,27.57,1619
1.840,27.60,1618
1.842,27.63,1618
1.844,27.66,1617
1.846,27.69,1616
1.848,27.71,1615
1.850,27.74,1614
1.852,27.77,1613
1.854,27.80,1612
1.855,27.83,1611
1.857,27.86,1610
1.859,27.89,1609
1.861,27.92,1609
1.863,27.95,1608
1.865,27.98,1607
1.867,28.01,1606
1.869,28.04,1605
1.871,28.07,1604
1.873,28.10,1603
1.875,28.13,1602
1.877,28.15,1601
1.879,28.18,1600
1.881,28.21,1599
1.883,28.24,1598
1.885,28.27,1597
1.887,28.30,1596
1.889,28.33,1595
1.891,28.36,1594
1.893,28.39,1593
1.895,28.42,1592
1.896,28.45,1591
1.898,28.48,1590
1.900,28.51,1589
1.902,28.54,1588
1.904,28.56,1587
1.906,28.59,1586
1.908,28.62,1585
1.910,28.65,1584
1.912,28.68,1583
1.914,28.71,1582
1.916,28.74,1581
1.918,28.77,1580
1.920,28.80,1579
1.922,28.83,1578
1.924,28.86,1577
1.926,28.89,1576
1.928,28.92,1574
1.930,28.95,1573
1.932,28.97,1572
1.934,29.00,1571
1.936,29.03,1570
1.938,29.06,1569
1.939,29.09,1568
1.941,29.12,1567
1.943,29.15,1566
1.945,29.18,1564
1.947,29.21,1563
1.949,29.24,1562
1.951,29.27,1561
1.953,29.30,1560
1.955,29.33,1559
1.957,29.36,1557
1.959,29.38,1556
1.961,29.41,1555
1.963,29.44,1554
1.965,29.47,1553
1.967,29.50,1552
1.969,29.53,1550
1.971,29.56,1549
1.973,29.59,1548
1.975,29.62,1547
1.977,29.65,1545
1.979,29.68,1544
1.980,29.71,1543
1.982,29.74,1542
1.984,29.77,1541
1.986,29.79,1539
1.988,29.82,1538
1.990,29.85,1537
1.992,29.88,1536
1.994,29.91,1534
1.996,29.94,1533
1.998,29.97,1532
2.000,30.00,1592
2.002,30.03,1593
2.004,30.06,1594
2.006,30.09,1596
2.008,30.12,1597
2.010,30.15,1598
2.012,30.18,1599
2.014,30.21,1601
2.016,30.23,1602
2.018,30.26,1603
2.020,30.29,1604
2.021,30.32,1605
2.023,30.35,1607
2.025,30.38,1608
2.027,30.41,1609
2.029,30.44,1610
2.031,30.47,1611
2.033,30.50,1613
2.035,30.53,1614
2.037,30.56,1615
2.039,30.59,1616
2.041,30.62,1617
2.043,30.64,1618
2.045,30.67,1620
2.047,30.70,1621
2.049,30.73,1622
2.051,30.76,1623
2.053,30.79,1624
2.055,30.82,1625
2.057,30.85,1626
2.059,30.88,1627
2.061,30.91,1629
2.063,30.94,1630
2.064,30.97,1631
2.066,31.00,1632
2.068,31.03,1633
2.070,31.05,1634
2.072,31.08,1635
2.074,31.11,1636
2.076,31.14,1637
2.078,31.17,1638
2.080,31.20,1639
2.082,31.23,1641
2.084,31.26,1642
2.086,31.29,1643
2.088,31.32,1644
2.090,31.35,1645
2.092,31.38,1646
2.094,31.41,1647
2.096,31.44,1648
2.098,31.46,1649
2.100,31.49,1650
2.102,31.52,1651
2.104,31.55,1652
2.105,31.58,1653
2.107,31.61,1654
2.109,31.64,1655
2.111,31.67,1656
2.113,31.70,1657
2.115,31.73,1658
2.117,31.76,1659
2.119,31.79,1659
2.121,31.82,1660
2.123,31.85,1661
2.125,31.88,1662
2.127,31.90,1663
2.129,31.93,1664
2.131,31.96,1665
2.133,31.99,1666
2.135,32.02,1667
2.137,32.05,1668
2.139,32.08,1669
2.141,32.11,1670
2.143,32.14,1671
2.145,32.17,1672
2.146,32.20,1672
2.148,32.23,1673
2.150,32.26,1674
2.152,32.29,1675
2.154,32.31,1676
2.156,32.34,1677
2.158,32.37,1678
2.160,32.40,1678
2.162,32.43,1679
2.164,32.46,1680
2.166,32.49,1681
2.168,32.52,1682
2.170,32.55,1682
2.172,32.58,1683
2.174,32.61,1684
2.176,32.64,1685
2.178,32.67,1686
2.180,32.70,1687
2.182,32.72,1687
2.184,32.75,1688
2.186,32.78,1689
2.188,32.81,1690
2.189,32.84,1690
2.191,32.87,1691
2.193,32.90,1692
2.195,32.93,1693
2.197,32.96,1693
2.199,32.99,1694
2.201,33.02,1695
2.203,33.05,1696
2.205,33.08,1696
2.207,33.11,1697
2.209,33.13,1698
2.211,33.16,1699
2.213,33.19,1699
2.215,33.22,1700
2.217,33.25,1701
2.219,33.28,1701
2.221,33.31,1702
2.223,33.34,1703
2.225,33.37,1703
2.227,33.40,1704
2.229,33.43,1705
2.230,33.46,1705
2.232,33.49,1706
2.234,33.52,1707
2.236,33.54,1707
2.238,33.57,1708
2.240,33.60,1709
2.242,33.63,1709
2.244,33.66,1710
2.246,33.69,1711
2.248,33.72,1711
2.250,33.75,1712
2.252,33.78,1712
2.254,33.81,1713
2.256,33.84,1714
2.258,33.87,1714
2.260,33.90,1715
2.262,33.93,1715
2.264,33.96,1716
2.266,33.98,1716
2.268,34.01,1717
2.270,34.04,1718
2.271,34.07,1718
2.273,34.10,1719
2.275,34.13,1719
2.277,34.16,1720
2.279,34.19,1720
2.281,34.22,1721
2.283,34.25,1721
2.285,34.28,1722
2.287,34.31,1722
2.289,34.34,1723
2.291,34.37,1723
2.293,34.39,1724
2.295,34.42,1724
2.297,34.45,1725
2.299,34.48,1725
2.301,34.51,1726
2.303,34.54,1726
2.305,34.57,1727
2.307,34.60,1727
2.309,34.63,1728
2.311,34.66,1728
2.313,34.69,1729
2.314,34.72,1729
2.316,34.75,1730
2.318,34.78,1730
2.320,34.80,1730
2.322,34.83,1731
2.324,34.86,1731
2.326,34.89,1732
2.328,34.92,1732
2.330,34.95,1732
2.332,34.98,1733
2.334,35.01,1733
2.336,35.04,1734
2.338,35.07,1734
2.340,35.10,1734
2.342,35.13,1735
2.344,35.16,1735
2.346,35.19,1735
2.348,35.21,1736
2.350,35.24,1736
2.352,35.27,1737
2.354,35.30,1737
2.355,35.33,1737
2.357,35.36,1738
2.359,35.39,1738
2.361,35.42,1738
2.363,35.45,1738
2.365,35.48,1739
2.367,35.51,1739
2.369,35.54,1739
2.371,35.57,1740
2.373,35.60,1740
2.375,35.63,1740
2.377,35.65,1741
2.379,35.68,1741
2.381,35.71,1741
2.383,35.74,1741
2.385,35.77,1742
2.387,35.80,1742
2.389,35.83,1742
2.391,35.86,1742
2.393,35.89,1743
2.395,35.92,1743
2.396,35.95,1743
2.398,35.98,1743
2.400,36.01,1744
2.402,36.04,1744
2.404,36.06,1744
2.406,36.09,1744
2.408,36.12,1744
2.410,36.15,1745
2.412,36.18,1745
2.414,36.21,1745
2.416,36.24,1745
2.418,36.27,1745
2.420,36.30,1745
2.422,36.33,1746
2.424,36.36,1746
2.426,36.39,1746
2.428,36.42,1746
2.430,36.45,1746
2.432,36.47,1746
2.434,36.50,1746
2.436,36.53,1747
2.438,36.56,1747
2.439,36.59,1747
2.441,36.62,1747
2.443,36.65,1747
2.445,36.68,1747
2.447,36.71,1747
2.449,36.74,1747
2.451,36.77,1747
2.453,36.80,1748
2.455,36.83,1748
2.457,36.86,1748
2.459,36.88,1748
2.461,36.91,1748
2.463,36.94,1748
2.465,36.97,1748
2.467,37.00,1748
2.469,37.03,1748
2.471,37.06,1748
2.473,37.09,1748
2.475,37.12,1748
2.477,37.15,1748
